Z_real (Ohm), Z_imag (Ohm)
0.697447795823666, 0.0594427244582042
0.703016241299304, 0.02786377708978327
0.7122969837587008, 0.0018575851393187737
0.7178654292343388, -0.022291021671826727
0.7290023201856148, -0.05015479876161011
0.7549883990719257, -0.07987616099071215
0.7735498839907193, -0.10030959752321988
0.8013921113689095, -0.11888544891640884
0.8348027842227379, -0.13003095975232204
0.8756380510440835, -0.14117647058823546
0.9127610208816705, -0.1467492260061921
0.9406032482598609, -0.148606811145511
0.9703016241299304, -0.14303405572755423
0.9907192575406033, -0.13931888544891646
1.0129930394431554, -0.13188854489164092
1.035266821345708, -0.12445820433436539
1.0612529002320186, -0.10959752321981431
1.0798143851508122, -0.09845201238390111
1.0983758700696056, -0.08730650154798769
1.1187935034802785, -0.07244582043343661
1.148491879350348, -0.06501547987616108
1.174477958236659, -0.06501547987616108
1.1986078886310905, -0.07987616099071215
1.217169373549884, -0.09659442724458212
1.2338747099767982, -0.11702786377708985
1.248723897911833, -0.14117647058823546
1.263573085846868, -0.16532507739938085
1.2765661252900231, -0.19133126934984523
1.291415313225058, -0.21362229102167185
1.306264501160093, -0.23777089783281735
1.3192575406032483, -0.2656346749226006
1.3341067285382833, -0.2860681114551084
1.3470997679814387, -0.31207430340557285
1.3600928074245942, -0.33622291021671835
1.37122969837587, -0.3547987616099072
1.3842227378190257, -0.37151702786377716
1.3990719257540603, -0.3919504643962849
1.4213457076566125, -0.42167182662538705
1.4361948955916475, -0.4365325077399382
